1,34,0,18,17,2
1,34,0,18,11,2
1,32,10,12,10,2
1,32,10,12,10,2
1,30,0,18,18,2
1,34,0,18,2,2
1,34,0,18,2,2
1,34,0,18,3,2
1,34,0,18,3,2
1,32,5,12,5,2
1,32,4,12,4,2
1,32,0,12,1,2
1,34,0,18,2,2
1,34,0,18,2,2
1,25,10,18,10,2
1,32,0,12,5,2
1,32,4,12,4,2
1,6,10,32,0,2
1,34,0,18,0,2
1,32,18,12,0,2
1,20,16,32,16,2
1,32,0,12,1,2
1,30,16,18,0,2
1,32,1,12,0,2
1,32,3,12,3,2
1,32,12,12,0,2
1,12,5,30,5,2
1,35,0,18,1,2
1,22,28,32,0,2
1,6,5,32,0,2
1,30,1,18,0,2
1,13,28,34,0,2
1,33,0,22,28,2
1,20,25,32,0,2
1,32,0,12,9,2
1,30,12,18,0,2
1,32,17,12,0,2
1,32,2,12,2,2
1,32,0,22,14,2
1,20,28,32,0,2
1,34,0,12,11,2
1,32,11,24,11,2
1,32,1,12,0,2
1,32,0,12,3,2
1,32,2,12,0,2
1,32,5,24,5,2
1,32,15,12,0,2
1,6,15,34,0,2
1,6,11,32,0,2
1,24,17,32,0,2
1,32,0,12,2,2
1,30,2,18,2,2
1,30,9,18,0,2
1,25,16,18,0,2
1,35,3,18,3,2
1,32,11,12,0,2
1,24,0,32,14,2
1,32,13,12,0,2
1,25,0,18,15,2
1,32,21,12,0,2
1,34,0,18,2,2
1,30,10,18,0,2
1,32,0,12,2,2
1,32,3,12,0,2
1,32,14,12,0,2
1,35,7,18,0,2
1,34,0,12,17,2
1,24,11,32,0,2
1,32,12,12,0,2
1,30,5,18,0,2
1,33,10,18,10,2
1,32,0,12,0,2
1,12,9,30,9,2
1,6,18,34,0,2
1,34,0,18,0,2
1,33,9,18,9,2
1,6,17,34,0,2
1,6,17,32,0,2
1,24,5,32,0,2
1,6,13,34,0,2
1,24,7,32,0,2
1,9,5,30,5,2
1,33,0,18,15,2
1,6,16,34,0,2
1,30,3,18,3,2
1,30,3,18,0,2
1,32,10,12,0,2
1,34,0,9,14,2
1,30,3,18,3,2
1,13,6,34,0,2
1,20,13,32,0,2
1,6,0,32,1,2
1,22,21,32,0,2
1,43,2,18,2,2
1,20,8,32,0,2
1,25,11,18,11,2
1,20,13,32,0,2
1,6,4,32,0,2
1,22,21,32,0,2
1,24,0,32,1,2
