generation,fitness,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6
1,10.553628,1,32,0,12,5,2
1,10.549851,1,30,2,18,10,2
1,10.5258,1,32,0,12,1,2
55,10.5195055,1,46,27,18,26,2
82,10.501314,1,44,27,18,26,2
49,10.48872,1,47,27,18,26,2
2,10.486648,1,32,0,18,3,2
83,10.458085,1,45,27,18,26,2
1,10.452042,1,32,0,18,2,2
1,10.405598,1,32,6,12,2,2
1,10.364233,1,34,0,18,0,2
174,10.333753,1,42,27,18,26,2
1,10.302143,1,32,18,12,0,2
6,10.256721,1,33,18,18,17,2
2,10.207527,1,32,10,12,2,2
114,10.160941,1,39,27,18,26,2
1,10.153491,1,32,17,12,0,2
2,10.143599,1,32,0,12,4,2
78,10.14073,1,34,27,9,26,2
87,10.127822,1,48,27,18,26,2
1,10.084674,1,20,16,32,16,2
1,10.083905,1,32,21,12,0,2
45,10.057389,1,38,27,18,26,2
76,10.052871,1,37,27,18,26,2
1,10.002444,1,20,28,32,0,2
1,9.992767,1,20,25,32,0,2
54,9.967605,1,34,27,6,26,2
1,9.9669485,1,32,2,12,2,2
89,9.953803,1,40,27,18,26,2
110,9.953803,1,41,27,18,26,2
72,9.946891,1,26,27,18,26,2
21,9.93247,1,43,18,18,26,2
50,9.882293,1,50,27,18,26,2
50,9.882182,1,25,27,18,26,2
80,9.830229,1,49,27,18,26,2
1,9.810127,5,34,0,18,2,2
1,9.800231,1,32,0,12,2,2
62,9.771325,1,29,27,18,26,2
3,9.727695,1,35,0,18,17,2
29,9.725179,1,26,18,18,26,2
1,9.705459,1,32,12,12,0,2
1,9.690429,1,32,5,12,0,2
162,9.662065,1,27,27,18,26,2
25,9.61734,1,29,18,18,26,2
30,9.578565,1,42,18,18,26,2
15,9.546736,1,45,18,18,17,2
16,9.504089,1,27,18,18,26,2
39,9.5012455,1,45,18,18,26,2
1,9.477796,1,32,13,12,0,2
117,9.474965,1,24,27,18,26,2
9,9.464733,1,42,18,18,17,2
1,9.447408,1,34,0,12,17,2
2,9.414747,1,34,10,12,10,2
67,9.36103,1,36,27,18,26,2
1,9.352169,1,30,2,18,2,2
28,9.336392,1,37,18,18,26,2
1,9.330703,1,20,8,32,0,2
68,9.31333,1,28,27,18,26,2
44,9.31065,1,40,18,18,26,2
147,9.291903,1,23,27,18,26,2
24,9.279423,1,48,18,18,26,2
16,9.227081,1,38,18,18,17,2
10,9.217382,1,25,18,18,17,2
12,9.196818,1,40,18,18,17,2
68,9.192911,1,18,27,18,26,2
1,9.1810665,1,32,0,12,0,2
81,9.153712,1,34,27,8,26,2
14,9.127649,1,37,18,18,17,2
1,9.124552,1,25,10,18,10,2
63,9.090169,1,34,27,32,26,2
43,9.08522,1,28,18,18,26,2
2,9.063438,1,34,0,12,10,2
33,9.033894,1,50,18,18,26,2
19,9.033526,1,18,18,18,26,2
20,9.003015,1,34,18,18,26,109
84,9.001443,1,21,27,18,26,2
148,8.963936,1,22,27,18,26,2
25,8.891004,1,24,18,18,26,2
93,8.850387,1,20,27,18,26,2
34,8.821605,1,23,18,18,26,2
1,8.708052,1,30,0,18,0,2
1,8.700524,1,30,9,12,3,2
42,8.617084,1,20,18,18,26,2
6,8.5889845,1,24,18,18,11,2
61,8.580713,1,34,27,23,26,2
6,8.570793,1,36,18,18,17,2
91,8.567202,1,34,27,24,26,2
1,8.564192,1,6,11,32,3,2
44,8.5093,1,22,18,18,26,2
11,8.501379,1,34,18,18,17,132
10,8.500571,1,34,18,8,17,2
7,8.4700775,1,34,18,18,17,114
34,8.46724,1,34,18,18,26,107
1,8.464297,1,34,0,12,1,2
101,8.44157,1,34,27,11,26,2
9,8.410732,1,34,18,18,17,64
130,8.401293,1,34,27,18,26,3
5,8.396114,1,32,18,9,17,2
26,8.382927,1,34,18,18,26,142
17,8.35872,1,34,18,18,26,129
35,8.35872,1,34,18,18,26,124
39,8.35872,1,34,18,18,26,130
44,8.355818,1,34,18,18,26,101
12,8.346735,1,34,18,18,17,76
87,8.320749,1,34,27,18,26,109
108,8.305655,1,34,27,22,26,2
13,8.295285,1,34,18,18,17,28
55,8.270656,1,12,27,18,26,2
163,8.268262,1,34,27,18,26,4
34,8.268074,1,34,18,18,26,66
10,8.244655,1,34,18,18,17,26
9,8.239142,1,34,18,18,17,18
25,8.2302685,1,34,18,18,26,27
9,8.220446,1,34,18,18,17,34
35,8.214979,1,34,18,18,26,59
43,8.205407,1,34,18,18,26,84
20,8.184298,1,34,18,18,26,120
19,8.182242,1,34,18,18,26,28
60,8.176508,1,34,27,21,26,2
20,8.174141,1,34,18,18,26,19
